permno,ticker,price,ret,vol,shrout,trade_date
92309,MAIN,37.99,0.005292,195876.0,75076.0,2022-11-21
92309,MAIN,38.36,0.009739,210702.0,75076.0,2022-11-22
92309,MAIN,38.47,0.002868,195890.0,75076.0,2022-11-23
92309,MAIN,38.64,0.004419,150406.0,75076.0,2022-11-25
92309,MAIN,37.77,-0.022516,319598.0,75076.0,2022-11-28
92309,MAIN,37.93,0.004236,219099.0,75076.0,2022-11-29
92309,MAIN,38.24,0.008173,277909.0,77254.0,2022-11-30
92309,MAIN,38.27,0.000784,254937.0,77254.0,2022-12-01
92309,MAIN,38.06,-0.005487,268715.0,77254.0,2022-12-02
92309,MAIN,37.49,-0.014976,392449.0,77254.0,2022-12-05
92309,MAIN,36.86,-0.016805,452727.0,77254.0,2022-12-06
92309,MAIN,36.64,0.0,269120.0,77254.0,2022-12-07
92309,MAIN,36.71,0.00191,261420.0,77254.0,2022-12-08
92309,MAIN,36.72,0.000272,216164.0,77254.0,2022-12-09
92309,MAIN,37.4,0.018519,319020.0,77254.0,2022-12-12
92309,MAIN,37.4,0.0,393628.0,77254.0,2022-12-13
92309,MAIN,37.33,-0.001872,295016.0,77254.0,2022-12-14
92309,MAIN,37.19,-0.00375,333844.0,77254.0,2022-12-15
92309,MAIN,37.0,-0.005109,391951.0,77254.0,2022-12-16
92309,MAIN,35.9,-0.027027,318632.0,77254.0,2022-12-19
92309,MAIN,35.98,0.002228,218352.0,77254.0,2022-12-20
92309,MAIN,36.24,0.007226,221125.0,77254.0,2022-12-21
92309,MAIN,36.08,-0.004415,264716.0,77254.0,2022-12-22
92309,MAIN,36.79,0.019679,170857.0,77254.0,2022-12-23
92309,MAIN,36.71,-0.002175,275640.0,77254.0,2022-12-27
92309,MAIN,36.51,-0.005448,254843.0,77254.0,2022-12-28
92309,MAIN,37.09,0.015886,307569.0,77254.0,2022-12-29
92309,MAIN,36.95,-0.003775,321612.0,77254.0,2022-12-30
92309,MAIN,36.91,-0.001083,369767.0,77254.0,2023-01-03
92309,MAIN,37.48,0.015443,444461.0,77254.0,2023-01-04
92309,MAIN,36.93,-0.008671,294132.0,77254.0,2023-01-05
92309,MAIN,36.87,-0.001625,242220.0,77254.0,2023-01-06
92309,MAIN,37.15,0.007594,259027.0,77254.0,2023-01-09
92309,MAIN,37.5,0.009421,257724.0,77254.0,2023-01-10
92309,MAIN,38.22,0.0192,342601.0,77254.0,2023-01-11
92309,MAIN,38.81,0.015437,341809.0,77254.0,2023-01-12
92309,MAIN,38.51,-0.00773,280762.0,77254.0,2023-01-13
92309,MAIN,39.19,0.017658,412090.0,77254.0,2023-01-17
92309,MAIN,38.97,-0.005614,360549.0,77254.0,2023-01-18
92309,MAIN,38.58,-0.010008,249155.0,77254.0,2023-01-19
92309,MAIN,39.15,0.014775,234093.0,77254.0,2023-01-20
92309,MAIN,39.58,0.010983,319134.0,77254.0,2023-01-23
92309,MAIN,39.5,-0.002021,556770.0,77254.0,2023-01-24
92309,MAIN,39.2,-0.007595,211912.0,77254.0,2023-01-25
92309,MAIN,39.3,0.002551,201541.0,77254.0,2023-01-26
92309,MAIN,39.58,0.007125,242693.0,77254.0,2023-01-27
92309,MAIN,38.92,-0.016675,352511.0,77254.0,2023-01-30
92309,MAIN,39.53,0.015673,210102.0,77254.0,2023-01-31
92309,MAIN,39.71,0.004554,261151.0,77254.0,2023-02-01
92309,MAIN,39.96,0.006296,361034.0,77254.0,2023-02-02
92309,MAIN,40.11,0.003754,352030.0,77254.0,2023-02-03
92309,MAIN,39.95,-0.003989,465663.0,77254.0,2023-02-06
92309,MAIN,39.59,-0.003379,308263.0,77254.0,2023-02-07
92309,MAIN,39.21,-0.009598,280942.0,77254.0,2023-02-08
92309,MAIN,38.74,-0.011987,294514.0,77254.0,2023-02-09
92309,MAIN,39.11,0.009551,288327.0,77254.0,2023-02-10
92309,MAIN,39.4,0.007415,208618.0,77254.0,2023-02-13
92309,MAIN,39.67,0.006853,240296.0,77254.0,2023-02-14
92309,MAIN,39.76,0.002269,235858.0,77254.0,2023-02-15
92309,MAIN,39.67,-0.002264,345497.0,77254.0,2023-02-16
92309,MAIN,40.28,0.015377,389711.0,77254.0,2023-02-17
92309,MAIN,39.36,-0.02284,354156.0,77254.0,2023-02-21
92309,MAIN,39.81,0.011433,243010.0,77254.0,2023-02-22
92309,MAIN,40.19,0.009545,306558.0,77254.0,2023-02-23
92309,MAIN,40.99,0.019906,575418.0,77254.0,2023-02-24
92309,MAIN,42.49,0.036594,580848.0,77254.0,2023-02-27
92309,MAIN,42.49,0.0,307742.0,77254.0,2023-02-28
92309,MAIN,41.92,-0.013415,298654.0,77254.0,2023-03-01
92309,MAIN,42.14,0.005248,283635.0,77254.0,2023-03-02
92309,MAIN,42.27,0.003085,260182.0,77254.0,2023-03-03
92309,MAIN,42.47,0.004732,347994.0,77254.0,2023-03-06
